date,R1001,R1002,R1004,R1005,R1008,R1009,R1011,R1012,R1039,R1040,R1041,BS,BK,RS,MP
5/29/2022,32.51774499,15.11288827,14.31642756,12.66921243,11.59278074,14.36656295,11.84602127,17.90907154,11.02815995,15.99672783,16.58463558,14.911111,9.996491,12.926087,6.546667
5/30/2022,21.34057849,23.11509808,22.0860646,22.3912138,19.00697718,23.69993249,17.38863388,21.70061912,17.62986111,19.43557783,22.23107456,15.035,21.638333,8.395,16.925
5/31/2022,27.74370256,26.00861007,23.75227613,26.32013426,24.33737611,29.51068915,23.29392034,30.65557277,21.03997134,23.26075477,26.96338149,18.855,20.061667,17.086667,18.211667
6/1/2022,26.71688959,28.63813936,25.19307965,25.65499063,24.26067487,30.64911998,23.24392852,28.4654984,23.01596357,22.61287347,26.64023237,20.841667,19.463333,15.861667,26.725
6/2/2022,26.54764077,24.87588026,21.8929542,22.58494487,21.04897513,26.66219408,19.41644037,28.76184697,20.39778294,21.03542557,22.14923644,17.678261,16.403333,26.491667,20.871667
6/3/2022,21.31521752,20.45928068,17.28011547,14.67957582,14.71806862,20.87969706,11.21129225,19.90814264,13.14329984,15.11158009,17.17870319,13.18,13.245,19.723913,10.558333
6/4/2022,23.95616416,24.63963799,15.30689108,17.12969354,15.57471567,18.61022859,13.40569704,25.90639863,NA,18.52717113,19.7328393,6.597826,9.215217,13.026667,9.45
6/5/2022,21.33412828,18.90816272,12.28605081,11.99927638,11.17795789,15.31410354,10.13767705,19.50277493,9.079769118,11.72832714,14.09298901,6.284783,6.913333,8.098333,18.07
6/6/2022,21.54416335,22.16703002,16.87006253,17.61456772,17.19262187,19.35636225,13.54719755,28.26110494,16.58484328,14.21843599,16.24947021,13.795652,8.625,17.286667,7.806667
6/7/2022,24.72738228,25.9176918,20.24060158,22.17957535,21.59247165,25.29251593,17.91132692,27.71060783,16.71793997,20.23347584,20.13098077,22.271739,19.691667,20.066667,13.468333
6/8/2022,22.74407254,19.33340741,15.77847723,13.55241177,13.97730069,21.44917261,13.13401399,25.29898687,11.03518901,13.50028668,18.27874679,18.534783,17.482759,13.89,8.713333
6/9/2022,25.52836798,23.59157133,20.35852958,18.93351349,19.02599471,23.93286049,15.44550117,23.09119115,15.23234702,19.92558971,21.80434383,15.356897,15.458333,21.569565,12.255
6/10/2022,23.82596574,21.0661576,20.6077405,19.80825549,18.47834697,25.27572308,16.60972576,25.72754279,20.45849861,15.53042983,22.2770267,9.263333,10.476087,10.003333,16.525
6/11/2022,17.92142574,15.83015213,12.60753311,14.84090615,13.58155988,16.41171067,8.87427125,19.75562355,11.47325933,12.97913469,15.30009956,11.961667,7.091667,7.328333,11.443478
6/12/2022,21.29444642,17.84106729,14.78814842,17.23843952,13.8146506,18.09951551,14.64228434,21.59984265,18.87938912,14.89676861,16.75609117,10.717778,10.81,8.12,7.471667
6/13/2022,18.45824444,16.0346648,18.87670476,21.01825366,16.58696342,20.97616092,17.03043171,17.22905813,18.84924241,19.57174558,21.21255443,4.85,13.480702,3.193333,7.656667
6/14/2022,17.15940692,16.99959059,18.02531159,17.95782816,14.81635283,19.19212456,14.64075213,16.63577045,19.28398116,19.10654912,16.89584296,8.582609,13.258696,4.005,9.906667
6/15/2022,23.40669923,22.95589885,20.5336739,19.80138226,19.76280455,25.88812958,17.36536102,20.41137076,19.23697052,22.56042934,22.37745615,15.89,17.053333,13.93,10.085
6/16/2022,19.19815621,19.23090794,16.03631702,15.74395465,15.68074562,22.78010235,12.84001917,21.77180157,19.38535093,15.18770444,17.7559058,12.678261,15.756667,14.091667,10.9
6/17/2022,30.7081972,21.37983067,22.69479856,21.58134856,22.17314735,27.81370291,19.82131796,21.89630656,22.63345254,19.89590972,22.00085039,11.122807,13.001667,10.886957,11.623333
6/18/2022,22.35457512,17.71029985,14.81462436,14.51249017,13.35857411,18.30544191,11.05874729,18.68268603,13.82140791,16.3520622,20.1397656,7.267391,5.58,6.146667,8.588333
6/19/2022,18.19021451,14.80954387,12.67651571,13.05014585,11.67365754,14.33782798,10.72956881,19.2732002,12.89965326,12.13927236,14.93435083,9.880435,6.926667,14.966667,6.965
6/20/2022,23.20900827,19.27517535,21.11012447,18.18394433,15.97292119,24.25910171,13.30979194,21.57110452,15.35356428,16.93504889,19.61373559,15.404348,10.283333,13.95,14.386667
6/21/2022,20.74414496,22.58649545,15.29736344,16.43476758,17.25508996,23.73646562,11.74306171,18.40226964,17.40406265,14.8105846,17.9714279,12.065517,13.213333,20.848333,8.76
6/22/2022,21.3843828,13.56645376,10.34446587,11.14102046,10.51424136,16.14603004,9.598327905,19.01501615,12.76427765,10.53465478,13.59510831,12.351667,11.147458,9.247826,8.993478
