time,R1001,R1002,R1004,R1005,R1008,R1009,R1011,R1012,R1039,R1040,R1041,BS,BK,RS,MP
5/28/2022,27.49450209,31.08955938,30.76772935,35.98546286,31.15954689,28.91639652,34.49640785,29.07888174,43.58969068,32.21636188,38.68993201,34.090044,26.989167,42.802292,28.269375
5/29/2022,22.57994848,33.03087389,27.06067104,34.40032171,31.16740247,28.83059376,34.38107647,28.24878417,41.72354495,28.67314656,35.95118548,31.202655,27.25125,33.586667,29.000833
5/30/2022,13.40504059,19.0612387,16.66245986,17.74802328,17.65444975,19.70756761,21.51760062,14.03690773,25.79456283,17.13806066,25.10207494,24.470575,20.358962,29.566042,20.338915
5/31/2022,20.66933269,24.39521263,23.71015345,29.89419589,22.36545486,16.29382154,28.0567607,26.33777328,38.33509857,25.39310071,32.04984688,22.319469,19.095833,26.471667,20.982083
6/1/2022,9.539231576,25.27647648,15.59678712,23.97160093,19.13308151,9.800314224,23.67513094,23.18340695,30.2908304,17.29521396,24.96398965,22.382708,19.268333,22.589167,17.084792
6/2/2022,22.96279651,30.42698293,24.12642463,33.25750022,25.46841801,18.79309439,31.38498535,32.17024339,44.38755911,28.1976929,40.75673924,26.666042,29.188125,31.874792,27.972292
6/3/2022,20.88318851,25.64854061,22.45175018,28.13370336,25.62393205,27.50786799,29.23059987,26.03700627,20.99554825,27.33973269,34.43176385,27.427876,25.837292,25.428542,29.68625
6/4/2022,21.38832889,27.91988947,24.79970808,29.3114352,30.16380521,31.87966136,30.12986221,30.32178333,NA,28.27277394,35.77545033,33.833763,30.320833,33.002083,33.193542
6/5/2022,20.07213721,24.69204626,23.28717776,24.29268983,26.17275809,24.22393598,29.18597392,21.56789946,31.50335781,28.32656463,33.49229727,25.281858,24.244583,25.726042,27.350208
6/6/2022,19.81413384,25.0405308,22.85649472,33.46160094,24.30597104,22.32266195,27.65635262,33.51823278,42.57345583,26.81483087,31.72136842,23.7325,22.120833,26.46308,23.095833
6/7/2022,18.58131227,24.85810111,16.03937993,22.86736909,20.20540119,12.09706057,23.68264735,23.5816534,33.27057329,19.39709625,28.32314349,19.371667,17.680208,26.230833,21.666458
6/8/2022,24.02759222,27.60184201,27.85984925,36.91484743,27.41281477,24.1883554,32.72014459,36.31268475,44.60547131,32.02317809,38.06298666,33.092292,28.159792,33.039468,26.145625
6/9/2022,10.67679393,14.72437749,13.76006862,16.84964645,17.6689036,15.54895942,18.71282867,11.01243813,20.67588459,14.21189347,19.77406722,24.295354,21.637083,18.062083,26.306667
6/10/2022,22.19876238,28.1002585,26.11106822,24.41536027,27.49787178,19.99800896,30.72644361,31.95478599,40.47896688,30.49619098,39.34239294,25.190625,23.883857,24.09375,24.015417
6/11/2022,30.09643188,34.48055062,34.00324272,42.12917475,34.10344259,31.8167106,37.73980875,42.24696307,49.88256228,38.77090848,45.02077161,38.381116,34.291042,38.143333,32.474583
6/12/2022,28.39146504,32.96902436,33.44032065,37.8125453,31.99718518,33.99604176,36.66458317,40.73872804,48.31481052,37.53685524,41.72778106,28.626106,26.284375,28.800625,24.367292
6/13/2022,32.94023674,34.77571586,37.91215883,41.8673656,36.37360637,33.97600557,38.79107001,38.27774089,48.75286195,39.20545059,43.56885181,30.477434,30.520625,31.809583,29.469792
6/14/2022,26.10190992,31.9727443,30.27692251,33.8768803,29.75287223,28.40608175,34.04485667,36.14221237,42.5547625,33.86148404,40.00366572,30.235,24.717292,32.372083,26.955833
6/15/2022,15.80950664,20.77018031,18.24266184,21.57833887,19.9425486,20.74999498,23.66955482,24.13652921,29.98369389,20.87508915,26.96410998,25.889167,20.45375,30.055625,23.480625
6/16/2022,23.46671266,27.84719287,22.36298075,29.39100591,25.44161768,18.35977415,28.33545961,35.30654498,38.85431585,23.71289802,29.27315972,28.614381,25.48375,39.464167,26.43125
