time,R1001,R1002,R1004,R1005,R1008,R1009,R1011,R1012,R1039,R1040,R1041,BS,BK,RS,MP
6/4/2022,3.570779,2.936724,1.957769,1.68275,1.940615,2.12345,1.709864,1.734375,NA,NA,2.182453,2.7045294,2.668719,1.8501769,2.0072895
6/5/2022,2.530059,2.392618,1.72888,1.521125,1.691513,1.878711,1.376241,1.456321,3.607376,NA,1.841846,2.4554848,2.0966737,4.0667374,1.636518
6/6/2022,3.754212,3.173145,2.576646,2.149031,2.900502,3.025526,2.416131,1.795169,2.73295,NA,2.764542,1.8963199,2.6117481,1.7636235,2.5844303
6/7/2022,4.22242,3.911716,3.815065,3.317884,3.612224,4.197099,3.217131,2.779185,3.725181,NA,3.494366,4.9914894,4.8641189,3.354494,2.6380042
6/8/2022,4.690252,3.303276,2.548172,2.034534,2.827237,2.691393,2.32645,1.648681,2.352468,NA,3.61107,3.5913659,3.9864119,5.3049483,2.9693362
6/9/2022,4.680332,4.112363,3.249749,2.867185,3.028764,3.319451,2.671302,3.103489,3.377619,NA,3.584918,2.4834395,2.5995046,3.3067233,1.384218
6/10/2022,3.033454,3.320829,2.161198,1.773577,2.136169,2.447795,1.794293,1.920172,3.056819,NA,2.405685,3.259448,2.2797414,3.2142251,1.3042493
6/11/2022,2.93304,2.561118,1.817123,1.395405,2.10251,2.054243,1.664637,1.316222,NA,NA,1.841862,1.6299363,1.8794055,1.4313517,1.7849858
6/12/2022,3.62954,3.220199,2.819489,2.377916,3.223848,2.966454,2.648814,1.939992,NA,NA,2.924418,3.1795471,2.7905166,1.6395612,2.3745571
6/13/2022,3.003527,2.636596,2.656966,2.350888,3.028662,2.921248,2.525136,1.986645,NA,NA,2.669436,2.2627035,2.1232295,1.7630573,2.3364989
6/14/2022,5.416686,4.959934,4.930933,4.413193,5.150827,5.27929,4.456883,3.331566,NA,NA,4.990944,4.6731776,3.8559094,2.597523,4.9039007
6/15/2022,6.733001,6.849503,6.399725,6.003979,6.366874,6.425259,5.644885,4.97364,NA,NA,7.36159,7.5414013,4.2138004,5.5176929,4.7480142
6/16/2022,7.454157,8.362749,6.810694,6.604307,6.939574,6.691783,6.306858,5.134164,NA,NA,7.701893,8.9036801,6.2293701,9.4256192,4.4098582
6/17/2022,4.568703,4.359026,3.696015,3.439587,3.812959,3.927441,3.298729,2.938999,NA,NA,3.883476,2.7178344,2.1990092,1.8626327,2.8500709
6/18/2022,5.562036,5.889491,4.73394,4.167451,4.660607,4.661573,4.183357,3.950513,NA,NA,5.293734,4.8305732,3.9031847,2.6610757,3.8008511
6/19/2022,6.751575,5.697856,5.081685,4.598139,5.242406,4.916506,4.3539,3.636337,NA,NA,5.31917,3.8069356,3.7760793,3.3215853,4.4587527
6/20/2022,5.297351,4.963824,4.208582,3.600396,4.480133,4.393863,3.77127,2.738632,NA,NA,4.491394,3.9184006,3.4128096,3.368719,3.9799291
6/21/2022,6.194349,5.695175,4.687579,4.219821,4.740272,4.978376,4.026778,3.653482,NA,NA,5.36154,5.4821928,5.4202406,3.7278839,3.7233333
6/22/2022,3.184138,2.098507,1.589502,1.536914,1.899768,2.010902,1.511779,1.284101,NA,NA,1.977065,3.2526539,2.5057325,2.5244203,1.8733237
6/23/2022,2.785793,2.285924,2.070308,1.757931,2.232539,2.210465,1.942015,1.489271,NA,NA,2.231668,3.0067233,1.9093418,1.3764331,1.8892427
6/24/2022,2.901173,2.573614,2.294038,2.010252,2.392812,1.920378,2.021347,1.64496,NA,NA,2.14088,4.5458599,3.7579826,2.1523001,1.890092
6/25/2022,2.310448,2.676061,2.913606,1.980517,2.472936,1.710805,2.185888,1.346323,NA,NA,2.016639,11.8336872,6.033121,4.9409766,3.206728
6/26/2022,3.610401,2.986675,2.899235,2.48804,3.361997,2.591413,2.272427,1.532734,NA,NA,2.508918,5.8272663,6.0726822,7.5497523,5.6759915
6/27/2022,6.025896,5.35007,5.057804,4.426018,6.371487,4.774591,4.326108,2.675975,NA,NA,4.831934,12.6242746,11.5085633,7.1531493,10.0222695
6/28/2022,5.659372,5.196471,4.649958,4.123656,4.883363,4.460942,4.050652,3.317863,NA,NA,5.053988,7.5381458,4.8363765,4.0355272,6.6441844
6/29/2022,4.141804,3.739875,3.68327,2.648552,3.163065,3.223474,2.651796,3.320565,NA,NA,3.389728,3.6576079,2.4041047,2.8783439,4.3256028
6/30/2022,4.574057,3.818372,4.33784,4.376216,5.465275,3.916796,2.843868,2.518579,NA,NA,3.414081,3.9309271,3.92477,2.9232838,3.7258156
7/1/2022,5.21078,3.754639,3.212,2.629973,3.589826,3.710156,2.778545,1.898583,NA,NA,3.040509,5.8174098,6.0915782,5.736235,3.5068794
7/2/2022,6.183571,6.024992,5.564644,4.92106,5.942972,5.403499,5.00229,3.674489,NA,NA,5.315807,4.2249115,5.9162774,4.2903751,5.9426241
7/3/2022,5.246288,5.358662,4.612048,4.19312,4.598985,4.477899,4.212528,4.138717,NA,NA,5.235276,3.791649,2.1168436,2.2682236,3.1004255
7/4/2022,5.821775,5.579896,4.619009,4.194488,4.839682,4.624882,4.045156,4.046608,NA,NA,5.360191,4.2576787,2.894126,4.1992215,2.0065957
7/5/2022,3.478313,3.127659,2.438116,2.020924,2.808953,2.933242,2.283181,1.574043,NA,NA,2.43004,2.5453645,3.2188364,3.7722576,1.6207801
7/6/2022,5.696093,5.844491,4.458932,4.063424,4.859708,4.474352,4.145587,3.480423,NA,NA,4.864035,7.9312915,6.0483369,8.010846,5.0724823
7/7/2022,4.276957,3.768903,3.177285,2.799587,3.64663,3.603424,2.874771,2.841513,NA,NA,3.739218,2.295046,3.3026185,2.4964614,3.0556028
7/8/2022,5.159322,4.478383,2.78104,2.39587,2.948299,2.69575,1.784651,2.127885,NA,NA,3.084013,3.2325071,2.8104034,2.6246285,2.7162411
7/9/2022,4.741526,5.088743,3.87261,3.486217,4.62675,4.326787,NA,2.891136,NA,NA,4.049533,4.8237792,4.8311394,4.5736023,3.4618542
7/10/2022,4.764905,3.675623,2.711088,2.344479,3.24512,2.945473,NA,1.866138,NA,NA,2.892283,1.4502477,2.2305732,1.1228592,2.5585694
7/11/2022,4.378191,3.592659,3.375209,2.855305,3.587363,3.118312,NA,2.419097,NA,NA,3.017606,5.0620665,4.6868365,3.270913,3.7991507
7/12/2022,3.407705,2.705178,2.345768,2.08438,2.676543,2.287678,NA,1.87236,NA,NA,2.159065,7.1441218,6.8262562,6.0897381,2.6874027
7/13/2022,2.959841,1.691538,1.430238,1.303019,1.78269,1.609529,NA,1.103104,NA,NA,1.598296,1.8871904,3.5782024,1.7955414,1.8901154
7/14/2022,3.936483,2.964902,2.489488,2.005518,2.907951,2.376446,NA,1.775947,NA,NA,2.559539,4.3186129,3.965322,5.0766454,2.1871196
7/15/2022,3.833795,4.165755,3.452974,2.853356,3.790853,3.336386,NA,2.559129,NA,NA,3.704777,4.4026223,3.3404105,4.083581,1.8895966
7/16/2022,3.844138,4.268604,2.825717,2.501855,3.1219,2.83052,NA,2.383395,NA,NA,3.098905,4.0295326,4.8869781,2.7730361,1.5227884
7/17/2022,4.27991,4.862963,3.663574,3.3027,4.313735,3.460911,NA,3.078522,NA,NA,3.744246,4.0415428,3.9353149,1.2922151,1.8081387
7/18/2022,6.542422,5.995313,5.195492,4.439933,5.249684,5.404108,NA,4.02736,NA,NA,5.67581,5.2284501,5.7300361,2.97319,3.4541401
7/19/2022,6.357922,6.126473,5.053822,4.818296,5.511217,4.958937,NA,3.63358,NA,NA,5.842083,8.5604288,5.2607926,4.6404105,3.5407643
7/20/2022,4.164855,4.48218,3.458129,3.278757,3.85918,3.570488,2.477532,2.585493,NA,NA,3.728599,6.5187097,5.7652512,10.2518685,4.5716207
7/21/2022,6.467051,4.902436,3.682424,3.400619,4.056948,4.145869,3.248885,3.09876,NA,NA,4.225506,6.6495035,5.1581741,8.4710545,4.9993631
7/22/2022,8.153745,5.752939,4.57663,4.080885,5.071749,4.688634,4.495124,3.357206,NA,NA,5.833844,2.5526241,3.0670913,1.8479122,5.5918613
7/23/2022,4.961399,4.51656,3.348473,3.034537,3.910972,3.862554,3.282959,2.233269,NA,NA,3.739977,3.9206383,5.143949,3.7844303,4.5027601
7/24/2022,6.503951,6.116528,5.550791,5.179047,5.687104,5.318562,4.878965,3.901545,NA,NA,5.799542,8.1866667,7.7062279,6.5078556,5.0050248
7/25/2022,6.023452,6.073266,5.232219,5.072871,5.785466,5.251693,4.724668,3.839715,NA,NA,5.538424,10.1431915,8.95138,7.0264685,6.7039632
7/26/2022,6.32618,6.377595,5.779042,5.36187,6.477772,5.723895,5.196065,4.147807,NA,NA,6.15931,8.1152482,7.47523,6.9234253,7.2878855
7/27/2022,10.629887,10.82015,8.603137,8.342971,9.899021,8.822205,8.336067,5.806995,NA,NA,10.211425,12.1199291,13.2569002,11.012385,12.6067989
7/28/2022,12.897638,12.940263,10.577556,10.327504,11.584899,11.179076,10.121521,8.068304,NA,NA,12.041691,12.6276596,14.913942,8.3561217,14.4748054
7/29/2022,16.242391,16.884246,14.632483,14.464273,15.448519,15.36494,14.308927,11.287812,NA,NA,16.229703,12.9853901,18.0075018,10.6825902,15.3767162
7/30/2022,15.555439,16.655676,15.348286,15.147567,16.340777,15.003989,14.88442,10.855743,NA,NA,16.116968,16.3107092,15.5198868,12.9613588,11.6196037
7/31/2022,14.104357,14.969329,13.310716,13.35171,14.329389,12.897302,13.105455,10.308144,NA,NA,13.989094,10.534539,11.2535032,8.7810333,10.6756201
8/1/2022,5.682691,4.59701,4.022408,3.748222,4.732405,3.803284,3.761692,2.757937,NA,NA,4.282413,4.1175887,4.2479122,3.6242746,5.7980892
8/2/2022,9.271808,3.9185,2.846304,2.669171,3.599249,3.389089,2.773713,1.89169,NA,NA,3.579645,2.3506016,2.6797692,1.7874735,4.8615711
8/3/2022,5.702613,5.769224,4.729522,3.765537,5.113305,4.551974,4.23499,3.947839,NA,NA,5.475362,2.6382166,5.8106157,1.9168822,3.3948337
8/4/2022,4.796588,2.18353,1.575498,36.655937,1.903122,1.513522,1.334962,1.111678,NA,NA,2.129577,1.9566568,0.7268491,0.3527247,1.4349611
8/5/2022,NA,2.791765,1.965632,69.234322,2.382004,2.234828,1.942772,1.727919,NA,NA,2.440177,3.3013447,2.2620665,0.5389243,1.7377919
8/6/2022,NA,2.637635,2.143675,22.359931,2.250881,1.963655,1.768127,1.642898,NA,NA,2.201528,3.7234253,3.5908705,4.6341118,2.1719038
8/7/2022,NA,3.964202,3.125926,20.264732,3.747749,3.248403,3.297246,2.77465,NA,NA,3.685933,8.1949752,5.21983,6.4437367,4.2004246
8/8/2022,NA,5.064169,4.268966,19.387155,5.83737,4.177116,4.231506,3.242569,NA,NA,4.973199,8.2703468,5.653857,6.3137297,10.546087
8/9/2022,NA,7.179816,5.549893,13.236708,6.311362,5.875763,5.28101,4.10955,NA,NA,6.246813,9.1615004,9.7196745,6.6519462,8.5472753
8/10/2022,NA,6.792226,5.64578,12.162978,6.025468,5.439356,4.985457,4.878295,NA,NA,6.571489,3.3702837,5.7348903,2.4956829,7.820736
8/11/2022,NA,5.160122,4.000765,8.83019,4.7478,4.447161,3.928373,3.038396,NA,NA,4.424855,3.555776,3.7174805,2.6575372,4.770913
8/12/2022,NA,7.761475,6.079117,8.852186,6.638159,6.162832,5.84438,4.82205,NA,NA,6.729958,6.3016277,4.8060863,4.2073602,6.2282378
8/13/2022,NA,3.739162,2.656453,3.654733,3.068067,2.590151,2.659786,2.192952,NA,NA,2.966563,1.2402689,1.0221515,1.0947629,3.1712668
8/14/2022,NA,3.341974,2.423585,5.37668,2.974423,3.214099,2.455609,2.164916,NA,NA,2.557483,4.1772116,1.347983,3.72569,2.5094126
8/15/2022,NA,4.448196,3.457722,5.146007,3.71265,3.692906,3.194537,3.119443,NA,NA,3.806706,7.0603399,7.1819625,5.3570418,4.5985138
8/16/2022,NA,2.223235,1.486205,3.379696,1.755824,1.866786,1.369432,1.358404,NA,NA,1.978023,4.0196037,2.0898089,2.4995046,4.1052334
8/17/2022,NA,4.030679,3.371613,4.493755,3.708695,3.285077,2.856675,2.745333,NA,NA,3.562894,8.9144374,8.353574,7.4739706,5.7736023
8/18/2022,NA,7.541502,6.030948,6.956218,7.057164,6.183486,5.994706,4.642379,NA,NA,6.411202,12.303852,9.962845,9.4828733,7.8869781
8/19/2022,NA,12.309102,9.941301,9.973562,10.981225,9.668685,9.475696,7.662012,NA,NA,11.448467,11.0829078,10.3607926,8.1985846,11.3910828
8/20/2022,NA,4.920097,3.937771,4.173544,4.591054,3.998244,3.644585,3.070214,NA,NA,4.371023,2.6131915,2.3117481,2.7280962,5.3655343
8/21/2022,NA,4.378025,3.180849,3.319422,3.997475,3.200569,3.093367,2.240991,NA,NA,3.610599,4.1237926,3.1723992,2.218896,5.1830149
8/22/2022,NA,8.770237,7.369472,8.857096,8.228077,7.500017,7.928989,5.421006,NA,NA,9.261809,5.333617,6.9036801,4.0767921,6.3527247
8/23/2022,NA,5.607816,4.734282,5.158771,5.801953,5.204897,4.534689,3.459273,NA,NA,4.415875,4.512695,6.013305,3.8254069,6.0449855
